sensor_id,intervalo_dt,promedio,desviacion
Promedio,19:10,60.732424242424244,26.720568859709548
Promedio,19:20,189.4596923076923,60.597532333452705
Promedio,19:30,502.8332307692308,141.04137469316066
Promedio,19:40,604.2848484848486,56.26992283743187
Promedio,19:50,471.80126984126986,38.327257860896935
Promedio,20:00,449.51279411764705,26.313840229027214
Promedio,20:10,491.62134328358206,31.64995513882227
Promedio,20:20,509.30619047619047,27.216693254417756
Promedio,20:30,431.69575757575757,34.21727620597101
Promedio,20:40,351.77080645161294,31.723620165235815
Promedio,20:50,286.1771428571429,22.054830092629274
Promedio,21:00,227.63646153846156,19.03771589099261
Promedio,21:10,187.9328787878788,17.077240253097255
Promedio,21:20,159.60484848484847,14.593799973584591
Promedio,21:30,135.3471875,12.545584876792052
Promedio,21:40,118.85632352941177,10.194500112829603
